dataset_method,model
census13_naru,"resmade_hid16,16,16,16_emb8_ep100_embedInembedOut_warm0"
census13_mscn,mscn_hid8_sample500_ep100_bs256
census13_chinn,chinn_hid64_64_64_bin200_ep500_bs128
census13_chitree,chixgb_tr64_bin200
census13_deepdb,spn_sample48842_rdc0.4_ms0.01
forest10_naru,"resmade_hid64,64,64,64_emb8_ep100_embedInembedOut_warm4000"
forest10_mscn,mscn_hid32_sample3000_ep100_bs256
forest10_chinn,chinn_hid256_256_128_64_bin200_ep500_bs32
forest10_chitree,chixgb_tr512_bin200
forest10_deepdb,spn_sample581012_rdc0.4_ms0.005
power7_naru,"resmade_hid128,128,128,128,128_emb16_ep100_embedInembedOut_warm4000"
power7_mscn,mscn_hid64_sample5000_ep100_bs256
power7_chinn,chinn_hid512_512_256_bin200_ep500_bs128
power7_chitree,chixgb_tr256_bin200
power7_deepdb,spn_sample2075259_rdc0.3_ms0.001
dmv11_naru,"resmade_hid512,512,512,512_emb128_ep100_embedInembedOut_warm4000"
dmv11_mscn,mscn_hid256_sample10000_ep100_bs256
dmv11_chinn,chinn_hid2048_1024_512_256_bin200_ep500_bs32
dmv11_chitree,chixgb_tr8192_bin200
dmv11_deepdb,spn_sample1000000_rdc0.2_ms0.001
